ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,YIELD2,DY_SK,PL_HT,E_HT,ASI,P_ASP,P_HARV,E_HARV,E_ASP,GWT,1000GWT,HUSK,RL,RLPER,SL,SLPER,E_ROT,RUST,BLIGHT,CURV,DIPLODIA,DM,ANTHESIS,STALK_ROT,STREAK,INSECT,MOIST,COBDAMCO,COBDAMRT,DEADHEART,SBDAMAT,BORERDMRAT,GLS,GTEXT,PLST
1,Evt-Isr (White),M9003ST,1,ACR 87 TZUT SR W,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,4101.21,,56.00,195.75,104.75,,1.25,32.25,33.50,1.00,,,,4.00,12.24,1.75,5.54,,,,,,,54.25,,,,12.2,,,,,,,,40.5
2,Evt-Isr (White),M9003ST,2,EV 8444 SR BC4,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,4497.07,,55.00,181.50,101.50,,1.75,29.50,30.50,1.25,,,,7.25,25.09,1.00,3.00,,,,,,,52.50,,,,12.35,,,,,,,,40.5
3,Evt-Isr (White),M9003ST,3,EV 8749 SR BC6,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3274.56,,54.75,181.75,89.00,,2.00,29.75,31.00,1.25,,,,8.50,28.04,1.25,4.88,,,,,,,56.00,,,,9.125,,,,,,,,43.25
4,Evt-Isr (White),M9003ST,4,EV 8762 SR BC6,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3907.70,,58.00,176.75,99.25,,1.25,31.50,34.75,1.25,,,,5.00,17.65,0.50,1.47,,,,,,,53.50,,,,16.525,,,,,,,,31
5,Evt-Isr (White),M9003ST,5,EV 8766 SR BC6,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3193.66,,55.75,194.50,112.25,,1.75,27.25,30.50,1.25,,,,6.25,22.24,3.25,14.07,,,,,,,52.00,,,,18.725,,,,,,,,35.75
6,Evt-Isr (White),M9003ST,6,TZUT SR W SG Y,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3652.57,,56.75,200.75,110.50,,1.00,31.00,31.50,1.00,,,,2.75,8.07,1.50,4.91,,,,,,,49.50,,,,16.975,,,,,,,,34.75
7,Evt-Isr (White),M9003ST,7,IKENNE (1) 8149,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3840.51,,54.25,175.50,89.00,,1.50,30.25,33.00,1.00,,,,6.25,21.43,0.75,2.60,,,,,,,53.75,,,,16.6,,,,,,,,32.25
8,Evt-Isr (White),M9003ST,8,LOCAL CHECK 1,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3217.33,,61.50,214.50,132.75,,1.75,26.50,28.75,1.00,,,,6.25,22.80,3.25,12.99,,,,,,,50.50,,,,16,,,,,,,,34.5
9,Evt-Isr (White),M9003ST,9,LOCAL CHECK 2,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1990,3987.41,,63.00,190.00,112.25,,1.25,32.50,34.50,1.00,,,,4.50,12.05,1.50,4.95,,,,,,,54.75,,,,17.025,,,,,,,,28
10,International Hybrid Maize Trial (Yellow),K9102ST,1,8329-15,MALI,SOTUBA,,-7.95,12.67,Moist Savanna,1991,6357.22,,56.50,206.25,113.75,,,40.00,40.75,1.25,,,1.00,20.50,50.81,5.00,12.46,,,,,,,61.50,,,,,,,,,,,,19.5
